epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1322.15,2.30102,4.7171,2.20024,0.88227,0.06707,0.0786,0.03718,2.15801,2.9194,2.11683,0.000123212,0.000123212,0.000123212
2,1682.95,2.02469,3.55703,1.94599,0.31735,0.10549,0.10098,0.04618,2.07902,2.70803,2.10191,0.000234342,0.000234342,0.000234342
3,2044.54,1.96978,3.17207,1.9019,0.29766,0.13786,0.11097,0.05381,2.01622,2.65525,2.07094,0.000333261,0.000333261,0.000333261
4,2402.89,1.92853,2.94481,1.86831,0.36962,0.11385,0.10724,0.05399,2.00525,2.55976,2.01843,0.000315055,0.000315055,0.000315055
5,2764.2,1.89613,2.80247,1.83646,0.33993,0.14826,0.12742,0.06057,1.95631,2.52089,1.97877,0.00029674,0.00029674,0.00029674
6,3125.65,1.87404,2.70817,1.82618,0.38622,0.15308,0.13471,0.06524,1.93539,2.46265,1.97858,0.000278425,0.000278425,0.000278425
7,3481.95,1.83293,2.60799,1.79172,0.34266,0.15588,0.13267,0.06375,1.92483,2.47821,1.96782,0.00026011,0.00026011,0.00026011
8,3841.14,1.8194,2.54743,1.78434,0.36336,0.17703,0.14411,0.06834,1.91445,2.40023,1.93526,0.000241795,0.000241795,0.000241795
9,4201.12,1.79612,2.49261,1.76653,0.40268,0.18644,0.15621,0.07374,1.91139,2.37839,1.93253,0.00022348,0.00022348,0.00022348
10,4561.52,1.79002,2.45119,1.75775,0.37649,0.19896,0.16783,0.07863,1.89785,2.31999,1.90724,0.000205165,0.000205165,0.000205165
11,4912.25,1.79607,2.38084,1.82217,0.35669,0.20826,0.17042,0.08047,1.89067,2.28187,1.89518,0.00018685,0.00018685,0.00018685
12,5261.35,1.78133,2.31094,1.80178,0.37594,0.20432,0.18302,0.08704,1.8892,2.28054,1.89893,0.000168535,0.000168535,0.000168535
13,5606.16,1.77023,2.26226,1.78839,0.32889,0.21194,0.19207,0.09088,1.86561,2.24076,1.89938,0.00015022,0.00015022,0.00015022
14,5953.63,1.74506,2.2259,1.78055,0.26224,0.21926,0.17965,0.08639,1.86701,2.2537,1.88883,0.000131905,0.000131905,0.000131905
15,6301.5,1.73773,2.18174,1.76755,0.31737,0.2275,0.18771,0.08954,1.86117,2.21639,1.89242,0.00011359,0.00011359,0.00011359
16,6648.28,1.73335,2.15927,1.75653,0.30796,0.23131,0.18927,0.08966,1.85554,2.19694,1.8538,9.5275e-05,9.5275e-05,9.5275e-05
17,6990.39,1.71684,2.13186,1.74162,0.33137,0.2473,0.20097,0.09723,1.84547,2.17941,1.86746,7.696e-05,7.696e-05,7.696e-05
18,7334.99,1.71431,2.10935,1.74134,0.3611,0.22242,0.21091,0.10079,1.84571,2.16602,1.86183,5.8645e-05,5.8645e-05,5.8645e-05
19,7678.93,1.70205,2.08248,1.72674,0.39171,0.23308,0.20868,0.09738,1.84838,2.16194,1.85471,4.033e-05,4.033e-05,4.033e-05
20,8022.13,1.69172,2.06679,1.71643,0.33909,0.24342,0.20794,0.10034,1.84472,2.14573,1.85739,2.2015e-05,2.2015e-05,2.2015e-05
