epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,549.758,2.25888,4.67689,2.20582,0.70338,0.07349,0.08393,0.03915,2.09715,2.77321,2.11434,0.000123199,0.000123199,0.000123199
2,901.45,2.00735,2.98212,1.97224,0.55481,0.08454,0.09755,0.04542,2.05172,2.69282,2.06969,0.000234329,0.000234329,0.000234329
3,1248.28,1.9572,2.75857,1.93425,0.46216,0.13533,0.11235,0.05334,1.98965,2.63261,2.10703,0.000333249,0.000333249,0.000333249
4,1587.29,1.92056,2.64175,1.89422,0.46654,0.13573,0.12394,0.05875,1.99554,2.50437,2.04145,0.000315055,0.000315055,0.000315055
5,1932.53,1.8928,2.53114,1.86385,0.44989,0.14244,0.1375,0.06692,1.99132,2.49416,1.98072,0.00029674,0.00029674,0.00029674
6,2275.83,1.84824,2.47499,1.83659,0.49373,0.16546,0.14998,0.07041,1.93135,2.38028,1.95748,0.000278425,0.000278425,0.000278425
7,2621.49,1.81803,2.36987,1.79925,0.29983,0.18231,0.15637,0.07325,1.89652,2.32062,1.91536,0.00026011,0.00026011,0.00026011
8,2967.18,1.80461,2.3139,1.78099,0.31886,0.20081,0.17381,0.07954,1.8781,2.24724,1.92477,0.000241795,0.000241795,0.000241795
9,3313.27,1.78594,2.28623,1.77185,0.4011,0.21581,0.19277,0.0904,1.8652,2.2355,1.93151,0.00022348,0.00022348,0.00022348
10,3659.57,1.77375,2.24264,1.75459,0.42965,0.20402,0.1892,0.09041,1.85321,2.20002,1.8791,0.000205165,0.000205165,0.000205165
11,4001.19,1.78132,2.1668,1.82567,0.41925,0.23582,0.19379,0.09185,1.85352,2.17863,1.88576,0.00018685,0.00018685,0.00018685
12,4339.49,1.75903,2.07966,1.79567,0.36366,0.23285,0.20991,0.0992,1.83595,2.09535,1.85648,0.000168535,0.000168535,0.000168535
13,4676.79,1.73428,2.03477,1.77828,0.42503,0.2297,0.21559,0.10331,1.83357,2.09399,1.85356,0.00015022,0.00015022,0.00015022
14,5015.02,1.72071,1.98798,1.7681,0.43329,0.25063,0.23011,0.10897,1.82557,2.06293,1.84272,0.000131905,0.000131905,0.000131905
15,5348.94,1.70195,1.95023,1.7494,0.40127,0.25927,0.24103,0.11589,1.81653,2.03733,1.84189,0.00011359,0.00011359,0.00011359
16,5681.55,1.68147,1.90757,1.73029,0.40913,0.25653,0.24254,0.11566,1.82775,2.01635,1.84004,9.5275e-05,9.5275e-05,9.5275e-05
17,6014.8,1.67431,1.87576,1.72027,0.48267,0.24414,0.24497,0.11693,1.80494,2.02378,1.82221,7.696e-05,7.696e-05,7.696e-05
18,6349.4,1.65421,1.84272,1.70249,0.45447,0.25093,0.25589,0.1239,1.80738,2.00423,1.82487,5.8645e-05,5.8645e-05,5.8645e-05
19,6684.2,1.63639,1.80781,1.6896,0.4441,0.26091,0.25505,0.12388,1.79896,1.97268,1.80716,4.033e-05,4.033e-05,4.033e-05
20,7020.57,1.61794,1.75429,1.6646,0.53113,0.24283,0.26541,0.12662,1.80047,1.96517,1.81462,2.2015e-05,2.2015e-05,2.2015e-05
